269 62 1 -2 0
270 60 1 -2 0
271 58 1 -2 0
272 56 0 -2 0
272 54 -1 -2 0
271 52 -1 -3 0
270 49 -1 -3 0
269 46 3 0 0
272 46 1 -3 0
273 43 3 0 0
276 43 0 -3 0
276 40 0 -3 0
276 37 1 3 0
277 40 3 2 0
280 42 -1 -3 0
279 39 3 2 0
282 41 0 -3 0
282 38 3 1 0
285 39 1 -3 0
286 36 3 -1 0
289 35 3 0 0
292 35 2 2 0
294 37 2 2 0
296 39 1 3 0
297 42 1 3 0
298 45 1 3 0
299 48 0 0 0
0 51 0 3 0
0 54 0 0 0
299 57 -3 -1 0
296 56 -3 0 0
293 56 -3 -1 0
290 55 -3 -1 0
287 54 -2 -2 0
285 52 -1 -3 0
284 49 0 -3 0
284 46 -1 -2 0
283 44 -1 -3 0
282 41 0 -3 0
282 38 1 -3 0
283 35 3 0 0
286 35 3 -1 0
289 34 3 0 0
292 34 2 2 0
294 36 3 0 0
297 36 0 0 0
0 37 0 3 0
0 40 0 3 0
0 43 0 3 0
0 46 1 3 0
1 49 1 3 0
2 52 0 3 0
2 55 -2 2 0
0 57 0 0 0
297 56 -3 -1 0
294 55 -3 -1 0
291 54 -3 -1 0
288 53 -1 -2 0
287 51 -1 -2 0
286 49 0 -3 0
286 46 -1 -3 0
285 43 0 -3 0
285 40 0 -3 0
285 37 3 0 0
288 37 2 1 0
290 38 2 2 0
292 40 2 2 0
294 42 1 3 0
295 45 1 3 0
296 48 0 3 0
296 51 -2 2 0
294 53 -3 0 0
291 53 -3 -1 0
288 52 -2 -2 0
286 50 -1 -3 0
285 47 -1 -3 0
284 44 -1 -3 0
283 41 -1 -3 0
282 38 1 -3 0
283 35 3 0 0
286 35 3 -1 0
289 34 3 0 0
292 34 2 2 0
294 36 3 0 0
297 36 0 0 0
0 37 0 3 0
0 40 0 3 0
0 43 0 3 0
0 46 1 3 0
1 49 1 3 0
2 52 0 3 0
2 55 -2 2 0
0 57 0 0 0
297 56 -3 -1 0
294 55 -3 -1 0
291 54 -3 -1 0
288 53 -1 -2 0
287 51 -1 -2 0
286 49 0 -3 0
286 46 -1 -3 0
285 43 0 -3 0
285 40 0 -3 0
285 37 3 0 0
288 37 2 1 0
290 38 2 2 0
292 40 2 2 0
294 42 1 3 0
295 45 1 3 0
296 48 0 3 0
296 51 -2 2 0
294 53 -3 0 0
291 53 -3 -1 0
288 52 -2 -2 0
286 50 -1 -3 0
