115 64 0
107 56 0
176 64 0
99 44 0
165 39 0
182 69 0
100 51 0
102 53 0
96 63 0
275 38 0
102 47 0
177 65 0
108 55 0
111 66 0
102 60 0
97 67 0
167 48 0
94 66 0
189 63 0
165 65 0
115 69 0
289 69 0
115 61 0
114 58 0
198 62 0
89 33 0
175 57 0
178 65 0
102 39 0
270 34 0
108 63 0
296 27 0
99 32 0
101 49 0
175 53 0
88 33 0
171 55 0
96 42 0
173 52 0
164 67 0
178 59 0
93 69 0
95 67 0
115 66 0
169 41 0
180 64 0
189 64 0
100 31 0
93 13 0
99 43 0
106 42 0
92 40 0
271 25 0
98 43 0
175 69 0
92 67 0
277 50 0
112 67 0
108 49 0
163 65 0
164 68 0
174 57 0
172 47 0
111 59 0
95 62 0
91 64 0
113 58 0
189 57 0
178 66 0
175 58 0
189 65 0
95 64 0
170 54 0
102 56 0
189 59 0
291 16 0
103 54 0
173 53 0
100 41 0
88 27 0
94 46 0
106 66 0
163 64 0
269 31 0
177 69 0
106 54 0
171 48 0
106 59 0
105 56 0
98 39 0
176 53 0
100 44 0
276 50 0
173 50 0
173 45 0
170 69 0
100 48 0
101 50 0
101 40 0
98 31 0
99 40 0
173 69 0
175 64 0
99 39 0
102 40 0
172 68 0
295 33 0
96 58 0
271 68 0
104 43 0
104 46 0
108 50 0
271 66 0
92 56 0
98 42 0
113 67 0
296 34 0
89 28 0
172 41 0
175 52 0
190 63 0
96 49 0
172 64 0
176 51 0
271 36 0
109 59 0
107 46 0
179 60 0
271 26 0
102 54 0
294 37 0
176 55 0
110 58 0
96 47 0
112 59 0
113 61 0
95 66 0
271 39 0
189 69 0
160 67 0
170 52 0
97 42 0
190 62 0
296 28 0
104 54 0
189 58 0
173 58 0
97 47 0
164 69 0
114 59 0
103 41 0
188 56 0
175 66 0
277 55 0
98 69 0
109 51 0
187 55 0
94 51 0
108 54 0
90 39 0
163 52 0
288 59 0
166 65 0
106 49 0
102 41 0
91 42 0
108 53 0
101 53 0
106 43 0
176 67 0
111 58 0
108 67 0
94 56 0
179 66 0
90 5 0
271 38 0
104 50 0
187 64 0
92 68 0
296 32 0
90 35 0
93 39 0
295 29 0
101 42 0
101 46 0
189 67 0
100 53 0
188 65 0
109 53 0
100 43 0
103 38 0
108 59 0
170 50 0
102 57 0
93 65 0
107 47 0
176 60 0
95 52 0
172 59 0
178 58 0
92 39 0
97 36 0
172 65 0
187 58 0
268 32 0
186 61 0
104 63 0
273 39 0
91 56 0
274 40 0
108 47 0
188 54 0
187 60 0
105 43 0
176 50 0
267 43 0
189 61 0
98 37 0
104 53 0
265 36 0
174 65 0
105 46 0
246 42 0
92 69 0
105 42 0
107 57 0
177 62 0
114 67 0
100 49 0
104 56 0
116 64 0
191 68 0
96 37 0
95 55 0
275 40 0
176 68 0
108 60 0
190 67 0
173 44 0
108 62 0
111 67 0
177 67 0
88 69 0
114 64 0
100 37 0
175 50 0
105 58 0
178 64 0
90 42 0
108 61 0
96 44 0
178 67 0
96 50 0
173 54 0
98 35 0
111 56 0
91 57 0
108 65 0
105 50 0
90 41 0
258 52 0
171 68 0
190 68 0
103 40 0
90 43 0
96 54 0
107 45 0
105 44 0
287 61 0
115 65 0
271 64 0
100 33 0
187 63 0
91 49 0
267 59 0
178 69 0
112 64 0
110 59 0
171 67 0
100 38 0
95 54 0
112 63 0
174 46 0
108 52 0
174 51 0
98 44 0
94 40 0
96 33 0
172 58 0
90 32 0
172 43 0
90 66 0
107 66 0
276 41 0
88 25 0
250 62 0
177 55 0
187 57 0
105 51 0
107 50 0
103 56 0
163 61 0
91 44 0
102 33 0
104 55 0
175 54 0
96 64 0
290 15 0
110 67 0
106 47 0
101 51 0
173 61 0
105 48 0
98 33 0
175 46 0
111 60 0
175 48 0
105 53 0
92 58 0
94 54 0
178 61 0
111 57 0
175 47 0
94 35 0
298 65 0
272 47 0
90 36 0
111 63 0
277 44 0
104 39 0
166 40 0
298 66 0
172 53 0
109 58 0
87 69 0
166 64 0
90 51 0
188 58 0
102 52 0
176 62 0
95 65 0
175 63 0
89 68 0
93 38 0
173 43 0
172 54 0
102 34 0
104 57 0
179 57 0
94 28 0
180 69 0
176 52 0
104 69 0
94 61 0
107 55 0
176 63 0
96 59 0
105 54 0
101 34 0
173 49 0
174 67 0
175 59 0
107 58 0
189 60 0
90 67 0
93 32 0
112 65 0
187 62 0
171 54 0
261 60 0
94 50 0
98 38 0
106 51 0
180 67 0
93 67 0
